subject_nr,response_time_keyboard_resp
104,1537
104,1446
104,878
104,1002
104,373
104,1178
104,1297
104,959
104,954
104,874
104,854
104,735
104,671
104,713
104,724
104,766
104,424
104,622
104,661
104,600
104,555
104,590
104,836
104,651
104,666
104,711
104,551
104,607
104,489
104,385
104,437
104,498
104,297
104,266
104,303
104,360
104,270
104,385
104,323
104,455
104,522
104,293
104,447
104,589
104,409
104,633
104,380
104,320
104,493
104,451
104,437
104,602
104,501
104,435
104,359
104,610
104,409
104,449
104,468
103,3379
103,993
103,830
103,1147
103,1145
103,1428
103,1176
103,968
103,1111
103,673
103,1104
103,720
103,594
103,722
103,328
103,791
103,719
103,774
103,880
103,805
103,1023
103,931
103,731
103,1025
103,1052
103,618
103,781
103,572
103,759
103,910
103,659
103,787
103,484
103,608
103,525
103,890
103,1007
103,508
103,425
103,895
103,965
103,778
103,926
103,955
103,1390
103,942
103,624
103,478
103,985
103,892
103,548
103,760
103,716
103,549
103,877
103,732
103,840
103,903
103,882
103,923
92,1209
92,735
92,107
92,5005
92,619
92,683
92,761
92,771
92,789
92,791
92,600
92,702
92,660
92,771
92,705
92,686
92,761
92,918
92,780
92,810
92,784
92,730
92,830
92,818
92,740
92,804
92,907
92,717
92,698
92,761
92,734
92,789
92,755
92,855
92,827
92,858
92,739
92,924
92,859
92,853
92,838
92,881
92,910
92,900
92,910
92,880
92,1051
92,932
92,767
92,883
92,1105
92,842
92,961
92,958
92,949
92,886
92,840
92,946
92,944
92,806
89,1013
89,579
89,720
89,1047
89,444
89,377
89,431
89,430
89,793
89,808
89,474
89,599
89,749
89,766
89,389
89,747
89,763
89,699
89,528
89,598
89,556
89,406
89,617
89,563
89,840
89,732
89,434
89,410
89,503
89,525
89,525
89,454
89,419
89,553
89,500
89,483
89,610
89,552
89,569
89,607
89,507
89,655
89,635
89,595
89,503
89,532
89,446
89,736
89,646
89,708
89,587
89,593
89,575
89,771
89,653
89,733
89,578
89,660
89,587
89,579
82,950
82,1060
82,877
82,794
82,302
82,775
82,786
82,962
82,790
82,753
82,869
82,883
82,1040
82,820
82,893
82,938
82,886
82,927
82,863
82,924
82,935
82,956
82,958
82,952
82,817
82,904
82,991
82,952
82,973
82,969
82,974
82,965
82,1112
82,1000
82,878
82,982
82,1032
82,894
82,1035
82,1075
82,1209
82,1140
82,1140
82,1187
82,1134
82,1079
82,1145
82,1048
82,1141
82,1196
82,1233
82,1196
82,1043
82,1246
82,1277
82,1218
82,1362
82,1560
82,1505
82,1300
79,5009
79,1525
79,1492
79,799
79,1331
79,786
79,1314
79,305
79,843
79,985
79,780
79,960
79,1098
79,864
79,1096
79,688
79,930
79,1018
79,916
79,1077
79,912
79,855
79,806
79,753
79,716
79,649
79,937
79,852
79,860
79,894
79,930
79,854
79,858
79,836
79,1212
79,1111
79,823
79,959
79,795
79,1001
79,944
79,832
79,786
79,1071
79,1041
79,1120
79,1083
79,682
79,947
79,993
79,811
79,782
79,784
79,709
79,956
79,949
79,915
79,695
79,926
79,877
76,647
76,755
76,895
76,768
76,1338
76,1040
76,981
76,295
76,931
76,1131
76,869
76,988
76,914
76,1120
76,1206
76,914
76,1182
76,1374
76,848
76,3897
76,1218
76,1125
76,1020
76,4007
76,941
76,1508
76,1349
76,1231
76,1666
76,1362
76,829
76,1337
76,1463
76,1516
76,663
76,1517
76,997
76,1257
76,1854
76,1734
76,2145
76,1624
76,2800
76,1342
76,3282
76,2564
76,1346
76,1464
76,2420
76,1291
76,1380
76,2049
76,1738
76,1503
76,1760
76,1732
76,1843
76,1929
76,2509
76,1582
73,921
73,1131
73,707
73,719
73,883
73,935
73,1015
73,914
73,1125
73,716
73,941
73,945
73,871
73,990
73,893
73,1028
73,878
73,1242
73,1438
73,1083
73,1649
73,1385
73,1330
73,1131
73,1338
73,1169
73,1028
73,1201
73,1340
73,1167
73,1222
73,1286
73,814
73,1186
73,1637
73,1627
73,914
73,1338
73,1352
73,1270
73,1062
73,1090
73,1309
73,1255
73,1122
73,1029
73,1592
73,1389
73,1368
73,1265
73,1350
73,1296
73,1020
73,1157
73,1193
73,1186
73,1359
73,1478
73,1509
73,1606
68,2129
68,616
68,880
68,392
68,230
68,637
68,462
68,656
68,430
68,625
68,573
68,498
68,573
68,357
68,463
68,530
68,480
68,476
68,542
68,683
68,415
68,416
68,625
68,529
68,569
68,676
68,462
68,681
68,562
68,627
68,625
68,658
68,561
68,566
68,494
68,588
68,574
68,645
68,566
68,681
68,593
68,486
68,684
68,598
68,652
68,648
68,834
68,545
68,628
68,632
68,599
68,689
68,856
68,587
68,539
68,598
68,608
68,688
68,670
68,755
63,547
63,1002
63,518
63,684
63,389
63,337
63,995
63,1236
63,945
63,288
63,373
63,946
63,762
63,387
63,811
63,633
63,801
63,950
63,639
63,727
63,530
63,1008
63,988
63,684
63,786
63,791
63,630
63,1186
63,1116
63,1225
63,1225
63,737
63,732
63,1187
63,2001
63,1307
63,2058
63,1274
63,1024
63,804
63,747
63,584
63,799
63,560
63,532
63,633
63,822
63,752
63,804
63,675
63,478
63,601
63,536
63,883
63,847
63,775
63,458
63,667
63,1133
63,1211
60,1435
60,1257
60,988
60,927
60,695
60,708
60,676
60,712
60,310
60,584
60,634
60,608
60,587
60,81
60,667
60,581
60,576
60,569
60,535
60,591
60,628
60,641
60,704
60,762
60,687
60,720
60,688
60,614
60,669
60,605
60,596
60,835
60,518
60,567
60,685
60,525
60,651
60,567
60,677
60,587
60,617
60,712
60,439
60,671
60,592
60,639
60,616
60,549
60,591
60,723
60,635
60,726
60,650
60,675
60,632
60,606
60,615
60,835
60,517
60,423
58,1186
58,847
58,615
58,721
58,574
58,412
58,576
58,471
58,415
58,774
58,617
58,622
58,862
58,621
58,675
58,397
58,949
58,798
58,893
58,947
58,1101
58,1142
58,713
58,1144
58,1237
58,911
58,1022
58,810
58,664
58,1001
58,908
58,1051
58,857
58,1034
58,673
58,881
58,823
58,1091
58,807
58,754
58,734
58,958
58,982
58,607
58,894
58,783
58,569
58,1235
58,933
58,972
58,1077
58,841
58,800
58,1255
58,1227
58,1193
58,1232
58,921
58,1263
58,1079
55,3677
55,598
55,928
55,586
55,1325
55,1059
55,563
55,757
55,293
55,643
55,697
55,807
55,659
55,878
55,825
55,892
55,829
55,924
55,969
55,1070
55,1050
55,1118
55,674
55,887
55,1072
55,876
55,845
55,712
55,820
55,862
55,650
55,722
55,722
55,917
55,829
55,1149
55,869
55,565
55,692
55,695
55,858
55,745
55,653
55,815
55,884
55,838
55,1083
55,1149
55,969
55,914
55,1116
55,974
55,999
55,444
55,689
55,805
55,850
55,1055
55,704
55,1016
52,1571
52,559
52,347
52,369
52,666
52,521
52,751
52,992
52,434
52,439
52,772
52,694
52,1101
52,1070
52,1001
52,880
52,370
52,704
52,629
52,982
52,652
52,953
52,743
52,907
52,1025
52,732
52,825
52,1067
52,1262
52,1184
52,1221
52,1071
52,1085
52,795
52,216
52,725
52,1322
52,1344
52,1383
52,1151
52,1216
52,1233
52,1225
52,695
52,565
52,739
52,1013
52,831
52,754
52,852
52,704
52,966
52,885
52,977
52,1101
52,707
52,510
52,430
52,427
52,595
47,1689
47,1437
47,712
47,20
47,1171
47,842
47,566
47,814
47,1055
47,1067
47,990
47,1013
47,888
47,1093
47,948
47,933
47,766
47,784
47,649
47,688
47,874
47,786
47,787
47,842
47,834
47,750
47,758
47,507
47,810
47,767
47,774
47,819
47,631
47,602
47,571
47,718
47,686
47,666
47,608
47,594
47,627
47,570
47,724
47,643
47,705
47,800
47,717
47,724
47,649
47,361
47,730
47,479
47,781
47,888
47,759
47,874
47,855
47,1007
47,831
47,883
45,968
45,1351
45,463
45,555
45,511
45,636
45,475
45,621
45,408
45,552
45,392
45,462
45,671
45,355
45,341
45,355
45,495
45,542
45,481
45,685
45,574
45,434
45,1549
45,368
45,333
45,385
45,474
45,730
45,510
45,575
45,561
45,583
45,486
45,1583
45,665
45,340
45,269
45,364
45,351
45,520
45,374
45,268
45,97
45,356
45,684
45,1987
45,263
45,479
45,192
45,1323
45,751
45,1510
45,674
45,396
45,658
45,345
45,300
45,350
45,1348
45,471
42,3043
42,1400
42,533
42,559
42,350
42,1282
42,450
42,632
42,953
42,778
42,1051
42,1215
42,1179
42,495
42,653
42,1190
42,1031
42,1134
42,1625
42,1029
42,1025
42,900
42,1059
42,1064
42,932
42,1332
42,1230
42,1196
42,1193
42,1104
42,1178
42,1083
42,1316
42,1406
42,1163
42,913
42,1063
42,1001
42,1176
42,1091
42,1149
42,818
42,1531
42,1245
42,1098
42,1120
42,1166
42,990
42,1154
42,1373
42,1301
42,749
42,935
42,970
42,1109
42,1057
42,1387
42,769
42,784
42,893
37,910
37,1031
37,1170
37,1513
37,1171
37,1091
37,1356
37,1113
37,915
37,1166
37,987
37,797
37,756
37,902
37,854
37,961
37,1134
37,648
37,843
37,748
37,900
37,783
37,978
37,795
37,848
37,1149
37,871
37,1039
37,774
37,1011
37,1057
37,950
37,1087
37,1322
37,1334
37,1159
37,1170
37,1091
37,1312
37,1105
37,1345
37,982
37,1199
37,945
37,860
37,1264
37,944
37,1244
37,1120
37,1256
37,916
37,1079
37,1346
37,905
37,1235
37,1171
37,1149
37,1299
37,1428
37,1196
