subject_nr,response_time_reproduction,punish,total_points
0,566,0,0
0,698,0,0
0,1327,0,0
0,937,0,0
0,992,0,0
0,843,0,0
0,730,0,0
0,637,0,0
0,908,0,0
0,1043,0,0
0,761,0,0
0,757,0,0
0,817,0,0
0,1071,0,5
0,731,0,5
0,858,0,10
0,1097,0,15
0,1363,0,15
0,1349,0,15
0,882,0,20
0,766,0,20
0,820,0,20
0,748,0,20
0,761,0,20
0,808,0,20
0,1015,0,25
0,938,0,30
0,917,0,35
0,922,0,40
0,964,0,45
0,1385,5,45
0,820,5,40
0,960,5,45
0,1074,5,50
0,1183,5,50
0,1213,5,50
0,1212,5,50
0,897,5,55
0,965,5,60
0,1039,5,65
0,898,5,70
0,1145,5,75
0,1037,5,80
0,1050,5,85
0,1123,5,90
0,1136,5,95
0,1103,5,100
0,1099,5,105
0,890,5,110
0,1072,5,115
0,950,30,120
0,879,30,125
0,972,30,130
0,1128,30,135
0,1293,30,135
0,982,30,140
0,1005,30,145
0,1111,30,150
0,1156,30,150
0,1119,30,155
0,967,30,160
0,1000,30,165
0,1309,30,165
0,1350,30,165
0,1088,30,170
0,1224,30,170
0,1205,30,170
0,1383,30,170
0,1157,30,170
0,1340,30,170
1,386,0,0
1,1174,0,0
1,711,0,0
1,966,0,0
1,968,0,0
1,976,0,0
1,894,0,0
1,930,0,0
1,765,0,0
1,1191,0,0
1,683,0,0
1,939,0,5
1,843,0,5
1,874,0,10
1,880,0,15
1,1338,0,15
1,1034,0,20
1,976,0,25
1,1308,0,25
1,1239,0,25
1,1057,0,30
1,914,0,35
1,1013,0,40
1,837,0,40
1,971,0,45
1,963,0,50
1,1058,0,55
1,845,0,55
1,959,0,60
1,891,0,65
1,834,5,60
1,1375,5,60
1,1100,5,65
1,1002,5,70
1,1067,5,75
1,868,5,80
1,848,5,75
1,911,5,80
1,855,5,85
1,815,5,80
1,952,5,85
1,950,5,90
1,782,5,85
1,1035,5,90
1,903,5,95
1,947,5,100
1,961,5,105
1,893,5,110
1,970,5,115
1,951,5,120
1,1011,30,125
1,1219,30,125
1,999,30,130
1,1002,30,135
1,1205,30,135
1,1167,30,135
1,731,30,105
1,1101,30,110
1,1025,30,115
1,890,30,120
1,781,30,90
1,818,30,60
1,824,30,30
1,950,30,35
1,1022,30,40
1,1011,30,45
1,926,30,50
1,742,30,20
1,1101,30,25
1,1267,30,25
2,773,0,0
2,400,0,0
2,5587,0,0
2,1584,0,0
2,1643,0,0
2,540,0,0
2,879,0,0
2,1757,0,0
2,355,0,0
2,1215,0,0
2,417,0,0
2,1017,0,5
2,902,0,10
2,1294,0,10
2,1141,0,15
2,1239,0,15
2,1038,0,20
2,1128,0,25
2,1952,0,25
2,1317,0,25
2,1312,0,25
2,1240,0,25
2,758,0,25
2,1046,0,30
2,1208,0,30
2,812,0,30
2,1108,0,35
2,1205,0,35
2,1054,0,40
2,990,0,45
2,1518,5,45
2,1588,5,45
2,973,5,50
2,1440,5,50
2,1108,5,55
2,1183,5,55
2,1025,5,60
2,1058,5,65
2,1060,5,70
2,917,5,75
2,1137,5,80
2,1076,5,85
2,1207,5,85
2,1063,5,90
2,1074,5,95
2,1179,5,95
2,1960,5,95
2,1442,5,95
2,1181,5,95
2,1327,5,95
2,1261,30,95
2,1246,30,95
2,1003,30,100
2,981,30,105
2,1471,30,105
2,1057,30,110
2,1850,30,110
2,1105,30,115
2,1292,30,115
2,1001,30,120
2,1419,30,120
2,773,30,90
2,1014,30,95
2,1492,30,95
2,798,30,65
2,1041,30,70
2,1360,30,70
2,1119,30,75
2,1871,30,75
2,2171,30,75
3,1020,0,0
3,1041,0,0
3,1079,0,0
3,1123,0,0
3,1215,0,0
3,805,0,0
3,885,0,0
3,948,0,0
3,835,0,0
3,1120,0,0
3,1205,0,0
3,1339,0,0
3,1189,0,0
3,731,0,0
3,1065,0,5
3,858,0,10
3,953,0,15
3,832,0,15
3,1081,0,20
3,1134,0,25
3,1190,0,25
3,1102,0,30
3,1032,0,35
3,1238,0,35
3,998,0,40
3,1262,0,40
3,1086,0,45
3,1213,0,45
3,882,0,50
3,1094,0,55
3,1277,5,55
3,1183,5,55
3,1157,5,55
3,1206,5,55
3,935,5,60
3,1140,5,65
3,1231,5,65
3,1187,5,65
3,914,5,70
3,1138,5,75
3,1316,5,75
3,1037,5,80
3,1261,5,80
3,916,5,85
3,1255,5,85
3,1195,5,85
3,970,5,90
3,1281,5,90
3,1067,5,95
3,1292,5,95
3,1376,30,95
3,1326,30,95
3,1246,30,95
3,1532,30,95
3,1066,30,100
3,1355,30,100
3,1164,30,100
3,1251,30,100
3,1437,30,100
3,943,30,105
3,1064,30,110
3,1370,30,110
3,1296,30,110
3,982,30,115
3,873,30,120
3,937,30,125
3,1182,30,125
3,1018,30,130
3,1047,30,135
3,1061,30,140
4,980,0,0
4,917,0,0
4,844,0,0
4,740,0,0
4,833,0,0
4,915,0,0
4,1034,0,0
4,978,0,0
4,1163,0,0
4,860,0,0
4,969,0,5
4,909,0,10
4,789,0,10
4,1769,0,10
4,987,0,15
4,1242,0,15
4,855,0,20
4,725,0,20
4,972,0,25
4,883,0,30
4,1129,0,35
4,1143,0,40
4,795,0,40
4,1432,0,40
4,994,0,45
4,1061,0,50
4,1163,0,50
4,1247,0,50
4,1090,0,55
4,1300,0,55
4,1243,5,55
4,818,5,50
4,1124,5,55
4,1150,5,60
4,1148,5,65
4,951,5,70
4,992,5,75
4,877,5,80
4,964,5,85
4,1034,5,90
4,1116,5,95
4,940,5,100
4,1330,5,100
4,1253,5,100
4,1185,5,100
4,1027,5,105
4,1186,5,105
4,924,5,110
4,1210,5,110
4,1017,5,115
4,1294,30,115
4,914,30,120
4,1244,30,120
4,801,30,90
4,1059,30,95
4,1099,30,100
4,1092,30,105
4,915,30,110
4,1096,30,115
4,964,30,120
4,978,30,125
4,865,30,130
4,856,30,135
4,1077,30,140
4,979,30,145
4,884,30,150
4,873,30,155
4,905,30,160
4,1018,30,165
4,1154,30,165
5,1034,0,0
5,1295,0,0
5,1084,0,0
5,1080,0,0
5,1104,0,0
5,1093,0,0
5,1043,0,0
5,960,0,0
5,1035,0,0
5,1017,0,0
5,1048,0,5
5,1101,0,10
5,1062,0,15
5,877,0,20
5,1026,0,25
5,1141,0,30
5,1073,0,35
5,1118,0,40
5,1065,0,45
5,1033,0,50
5,919,0,55
5,1192,0,55
5,837,0,55
5,825,0,55
5,1105,0,60
5,1050,0,65
5,1165,0,65
5,1030,0,70
5,1155,0,70
5,1098,0,75
5,1279,5,75
5,883,5,80
5,1110,5,85
5,1320,5,85
5,930,5,90
5,972,5,95
5,1060,5,100
5,753,5,95
5,1018,5,100
5,960,5,105
5,925,5,110
5,948,5,115
5,987,5,120
5,869,5,125
5,775,5,120
5,1432,5,120
5,889,5,125
5,749,5,120
5,1015,5,125
5,1116,5,130
5,2439,30,130
5,867,30,135
5,1626,30,135
5,1023,30,140
5,884,30,145
5,1145,30,150
5,945,30,155
5,899,30,160
5,549,30,130
5,1427,30,130
5,1000,30,135
5,981,30,140
5,773,30,110
5,1900,30,110
5,966,30,115
5,1002,30,120
5,874,30,125
5,1405,30,125
5,775,30,95
5,1096,30,100
6,902,0,0
6,1095,0,0
6,1029,0,0
6,799,0,0
6,764,0,0
6,1420,0,0
6,1021,0,0
6,862,0,0
6,930,0,0
6,995,0,0
6,777,0,0
6,1091,0,5
6,715,0,5
6,993,0,10
6,1068,0,15
6,900,0,20
6,958,0,25
6,960,0,30
6,1146,0,35
6,895,0,40
6,946,0,45
6,1211,0,45
6,1307,0,45
6,982,0,50
6,854,0,55
6,1307,0,55
6,1373,0,55
6,965,0,60
6,1184,0,60
6,1061,0,65
6,1327,5,65
6,1008,5,70
6,957,5,75
6,955,5,80
6,981,5,85
6,768,5,80
6,1038,5,85
6,889,5,90
6,890,5,95
6,872,5,100
6,1165,5,100
6,1037,5,105
6,1078,5,110
6,1225,5,110
6,1041,5,115
6,661,5,110
6,881,5,115
6,881,5,120
6,1033,5,125
6,1108,5,130
6,1329,30,130
6,1032,30,135
6,1409,30,135
6,1102,30,140
6,1227,30,140
6,1025,30,145
6,1331,30,145
6,925,30,150
6,1442,30,150
6,1522,30,150
6,1209,30,150
6,769,30,120
6,1198,30,120
6,962,30,125
6,1002,30,130
6,981,30,135
6,1258,30,135
6,1900,30,135
6,2173,30,135
6,1198,30,135
7,558,0,0
7,2074,0,0
7,725,0,0
7,893,0,0
7,1235,0,0
7,967,0,0
7,1359,0,0
7,1130,0,0
7,1124,0,0
7,1292,0,0
7,1486,0,0
7,1122,0,5
7,1288,0,5
7,1355,0,5
7,795,0,5
7,1157,0,5
7,1063,0,10
7,1185,0,10
7,1223,0,10
7,1040,0,15
7,1048,0,20
7,1226,0,20
7,1108,0,25
7,673,0,25
7,973,0,30
7,1354,0,30
7,1363,0,30
7,1100,0,35
7,902,0,40
7,956,0,45
7,942,5,50
7,788,5,45
7,1026,5,50
7,1115,5,55
7,835,5,50
7,1163,5,50
7,980,5,55
7,1119,5,60
7,882,5,65
7,1048,5,70
7,1243,5,70
7,1047,5,75
7,1175,5,75
7,973,5,80
7,1166,5,80
7,1174,5,80
7,1073,5,85
7,1138,5,90
7,1027,5,95
7,955,5,100
7,915,30,105
7,1261,30,105
7,1494,30,105
7,1110,30,110
7,1093,30,115
7,1189,30,115
7,928,30,120
7,848,30,90
7,754,30,60
7,1031,30,65
7,1201,30,65
7,923,30,70
7,1279,30,70
7,1120,30,75
7,1152,30,75
7,922,30,80
7,1359,30,80
7,1164,30,80
7,1073,30,85
7,902,30,90
8,921,0,0
8,692,0,0
8,954,0,0
8,646,0,0
8,870,0,0
8,1125,0,0
8,859,0,0
8,716,0,0
8,793,0,0
8,1051,0,0
8,1099,0,5
8,849,0,5
8,1014,0,10
8,971,0,15
8,576,0,15
8,962,0,20
8,1047,0,25
8,976,0,30
8,1087,0,35
8,987,0,40
8,937,0,45
8,997,0,50
8,886,0,55
8,913,0,60
8,989,0,65
8,1105,0,70
8,935,0,75
8,925,0,80
8,788,0,80
8,877,0,85
8,1524,5,85
8,1471,5,85
8,944,5,90
8,1270,5,90
8,1018,5,95
8,1242,5,95
8,1111,5,100
8,1177,5,100
8,991,5,105
8,1165,5,105
8,1072,5,110
8,1339,5,110
8,1123,5,115
8,1216,5,115
8,1282,5,115
8,949,5,120
8,1146,5,125
8,971,5,130
8,1159,5,130
8,872,5,135
8,1222,30,135
8,1178,30,135
8,1182,30,135
8,958,30,140
8,998,30,145
8,1153,30,145
8,1162,30,145
8,873,30,150
8,876,30,155
8,990,30,160
8,1005,30,165
8,935,30,170
8,933,30,175
8,776,30,145
8,1203,30,145
8,1010,30,150
8,1025,30,155
8,1108,30,160
8,1032,30,165
8,1139,30,170
9,767,0,0
9,841,0,0
9,559,0,0
9,1396,0,0
9,1360,0,0
9,1104,0,0
9,1255,0,0
9,1611,0,0
9,1264,0,0
9,1284,0,0
9,822,0,0
9,862,0,5
9,759,0,5
9,1187,0,5
9,779,0,5
9,833,0,5
9,1218,0,5
9,845,0,5
9,847,0,5
9,859,0,10
9,921,0,15
9,863,0,20
9,945,0,25
9,1048,0,30
9,936,0,35
9,955,0,40
9,1178,0,40
9,1104,0,45
9,1109,0,50
9,1181,0,50
9,1071,5,55
9,1084,5,60
9,1193,5,60
9,1178,5,60
9,831,5,55
9,1274,5,55
9,869,5,60
9,926,5,65
9,942,5,70
9,936,5,75
9,969,5,80
9,1238,5,80
9,1167,5,80
9,1336,5,80
9,929,5,85
9,1046,5,90
9,1128,5,95
9,926,5,100
9,1108,5,105
9,1288,5,105
9,1109,30,110
9,1360,30,110
9,1068,30,115
9,1370,30,115
9,1111,30,120
9,1027,30,125
9,1010,30,130
9,982,30,135
9,1176,30,135
9,880,30,140
9,1250,30,140
9,936,30,145
9,1045,30,150
9,1037,30,155
9,1008,30,160
9,935,30,165
9,1049,30,170
9,1160,30,170
9,1021,30,175
9,992,30,180
10,822,0,0
10,891,0,0
10,1091,0,0
10,953,0,0
10,1389,0,0
10,932,0,0
10,823,0,0
10,1030,0,0
10,922,0,0
10,1298,0,0
10,1301,0,0
10,652,0,0
10,594,0,0
10,740,0,0
10,916,0,5
10,827,0,5
10,1069,0,10
10,873,0,15
10,1035,0,20
10,1105,0,25
10,1000,0,30
10,968,0,35
10,1261,0,35
10,1109,0,40
10,1173,0,40
10,958,0,45
10,1100,0,50
10,833,0,50
10,1100,0,55
10,1288,0,55
10,1244,5,55
10,1149,5,60
10,993,5,65
10,921,5,70
10,1130,5,75
10,1289,5,75
10,1093,5,80
10,1035,5,85
10,1053,5,90
10,1041,5,95
10,992,5,100
10,827,5,95
10,978,5,100
10,1086,5,105
10,920,5,110
10,984,5,115
10,1684,5,115
10,1255,5,115
10,1290,5,115
10,950,5,120
10,1399,30,120
10,907,30,125
10,943,30,130
10,1104,30,135
10,1248,30,135
10,916,30,140
10,1030,30,145
10,756,30,115
10,1275,30,115
10,489,30,85
10,1085,30,90
10,878,30,95
10,750,30,65
10,1291,30,65
10,782,30,35
10,977,30,40
10,829,30,10
10,1071,30,15
10,916,30,20
10,1039,30,25
11,798,0,0
11,725,0,0
11,876,0,0
11,1023,0,0
11,990,0,0
11,991,0,0
11,923,0,0
11,1092,0,0
11,926,0,0
11,815,0,0
11,815,0,0
11,829,0,0
11,800,0,0
11,888,0,5
11,1015,0,10
11,939,0,15
11,747,0,15
11,961,0,20
11,956,0,25
11,1008,0,30
11,1060,0,35
11,1083,0,40
11,1015,0,45
11,1033,0,50
11,933,0,55
11,1291,0,55
11,914,0,60
11,986,0,65
11,776,0,65
11,643,0,65
11,925,5,70
11,969,5,75
11,1063,5,80
11,1025,5,85
11,990,5,90
11,1133,5,95
11,1273,5,95
11,865,5,100
11,1088,5,105
11,1087,5,110
11,899,5,115
11,1238,5,115
11,928,5,120
11,943,5,125
11,884,5,130
11,794,5,125
11,1073,5,130
11,972,5,135
11,1064,5,140
11,1092,5,145
11,1248,30,145
11,1062,30,150
11,1236,30,150
11,813,30,120
11,1041,30,125
11,1108,30,130
11,893,30,135
11,912,30,140
11,963,30,145
11,1139,30,150
11,1333,30,150
11,1058,30,155
11,1033,30,160
11,1041,30,165
11,956,30,170
11,1127,30,175
11,950,30,180
11,992,30,185
11,1011,30,190
11,984,30,195
12,877,0,0
12,1262,0,0
12,1057,0,0
12,836,0,0
12,766,0,0
12,751,0,0
12,1031,0,0
12,848,0,0
12,1274,0,0
12,1284,0,0
12,1101,0,5
12,1004,0,10
12,1176,0,10
12,1248,0,10
12,883,0,15
12,906,0,20
12,1058,0,25
12,165,0,25
12,941,0,30
12,778,0,30
12,2397,0,30
12,1103,0,35
12,1187,0,35
12,861,0,40
12,1146,0,45
12,1077,0,50
12,984,0,55
12,914,0,60
12,584,0,60
12,1132,0,65
12,162,5,60
12,970,5,65
12,1230,5,65
12,1080,5,70
12,1267,5,70
12,1107,5,75
12,1238,5,75
12,1011,5,80
12,1121,5,85
12,775,5,80
12,1206,5,80
12,1158,5,80
12,992,5,85
12,1128,5,90
12,910,5,95
12,810,5,90
12,941,5,95
12,1197,5,95
12,742,5,90
12,1158,5,90
12,1304,30,90
12,1146,30,95
12,1186,30,95
12,1399,30,95
12,993,30,100
12,1410,30,100
12,1094,30,105
12,1158,30,105
12,1020,30,110
12,936,30,115
12,767,30,85
12,998,30,90
12,1255,30,90
12,1061,30,95
12,1057,30,100
12,1381,30,100
12,1139,30,105
12,1365,30,105
12,1356,30,105
12,1346,30,105
13,700,0,0
13,447,0,0
13,738,0,0
13,845,0,0
13,647,0,0
13,798,0,0
13,954,0,0
13,841,0,0
13,752,0,0
13,728,0,0
13,955,0,5
13,825,0,5
13,874,0,10
13,880,0,15
13,1056,0,20
13,989,0,25
13,938,0,30
13,1003,0,35
13,919,0,40
13,1154,0,40
13,1292,0,40
13,1254,0,40
13,1397,0,40
13,1086,0,45
13,1113,0,50
13,1070,0,55
13,1176,0,55
13,993,0,60
13,1120,0,65
13,910,0,70
13,976,5,75
13,1013,5,80
13,1086,5,85
13,1099,5,90
13,988,5,95
13,974,5,100
13,1069,5,105
13,1060,5,110
13,975,5,115
13,1031,5,120
13,1060,5,125
13,1166,5,125
13,1118,5,130
13,1398,5,130
13,1162,5,130
13,1295,5,130
13,1379,5,130
13,1632,5,130
13,1110,5,135
13,1314,5,135
13,1049,30,140
13,1067,30,145
13,970,30,150
13,1107,30,155
13,953,30,160
13,860,30,165
13,1006,30,170
13,987,30,175
13,1116,30,180
13,1333,30,180
13,1034,30,185
13,1280,30,185
13,1155,30,185
13,1143,30,190
13,1202,30,190
13,1014,30,195
13,1241,30,195
13,1262,30,195
13,1128,30,200
13,1278,30,200
